HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAdvantage,Youth
San Marino,Slovenia,10/12/15,EUC-Q,0,2,1,0
Sweden,Moldova,10/12/15,EUC-Q,2,0,1,0
Ukraine,Spain,10/12/15,EUC-Q,0,1,1,0
Armenia,Albania,10/11/15,EUC-Q,0,3,1,0
Faroe Islands,Romania,10/11/15,EUC-Q,0,3,1,0
Finland,Northern Ireland,10/11/15,EUC-Q,1,1,1,0
Germany,Georgia,10/11/15,EUC-Q,2,1,1,0
Gibraltar,Scotland,10/11/15,EUC-Q,0,6,1,0
Greece,Hungary,10/11/15,EUC-Q,4,3,1,0
Poland,Republic of Ireland,10/11/15,EUC-Q,2,1,1,0
Serbia,Portugal,10/11/15,EUC-Q,1,2,1,0
Andorra,Belgium,10/10/15,EUC-Q,1,4,1,0
Azerbaijan,Italy,10/10/15,EUC-Q,1,3,1,0
Bosnia-Herzegovina,Wales,10/10/15,EUC-Q,2,0,1,0
Croatia,Bulgaria,10/10/15,EUC-Q,3,0,1,0
Czech Republic,Turkey,10/10/15,EUC-Q,0,2,1,0
Iceland,Latvia,10/10/15,EUC-Q,2,2,1,0
Israel,Cyprus,10/10/15,EUC-Q,1,2,1,0
Kazakhstan,Netherlands,10/10/15,EUC-Q,1,2,1,0
Norway,Malta,10/10/15,EUC-Q,2,0,1,0
England,Estonia,10/09/15,EUC-Q,2,0,1,0
Liechtenstein,Sweden,10/09/15,EUC-Q,0,2,1,0
Macedonia,Ukraine,10/09/15,EUC-Q,0,2,1,0
Moldova,Russia,10/09/15,EUC-Q,1,2,1,0
Montenegro,Austria,10/09/15,EUC-Q,2,3,1,0
Slovakia,Belarus,10/09/15,EUC-Q,0,1,1,0
Slovenia,Lithuania,10/09/15,EUC-Q,1,1,1,0
Spain,Luxembourg,10/09/15,EUC-Q,4,0,1,0
Switzerland,San Marino,10/09/15,EUC-Q,7,0,1,0
Argentina,Ecuador,10/09/15,WOC-Q-South America,0,2,1,0
Chile,Brazil,10/09/15,WOC-Q-South America,2,0,1,0
Albania,Serbia,10/08/15,EUC-Q,0,2,1,0
Georgia,Gibraltar,10/08/15,EUC-Q,4,0,1,0
Hungary,Faroe Islands,10/08/15,EUC-Q,2,1,1,0
Northern Ireland,Greece,10/08/15,EUC-Q,3,1,1,0
